index,title_year,top200,year,first_year,decade,Category,Era,APP_Era,APP_Era_exp,Existential Threat,Existential Threat_exp,APP_World After,APP_World After_exp,Dystopian/Post-Apoc,Dystopian/Post-Apoc_exp,Inequality,Inequality_exp,Suffering,Suffering_exp,A militarized society,A militarized society_exp,unknown,unknown_exp,society,society_exp,human,human_exp,self,self_exp,Social Issues,Social Issues_exp
17,Flight to Mars (1951),1,1951,1951,1950,other,future,future,"The film is set in the future, involving a manned mission to Mars.",0,There is no direct existential threat to humanity portrayed in the story; the threats are more localized to the protagonists.,0.5,"The characters help to ensure their own survival and return home, making a modest impact on the Martian world, but the overall state doesn't drastically change.",0,The world in 'Flight to Mars' is not depicted as dystopian or post-apocalyptic.,0,The setting at the beginning of the story does not indicate a notable amount of inequality.,0,There is no notable amount of human suffering depicted at the beginning of the story.,0,The setting at the beginning of the story does not suggest a militarized society.,1,The story involves a conflict between humans and the unknown elements of Mars and its inhabitants.,1,"There is a human vs. society conflict, particularly with the Martian society which has its own agendas.",1,The story involves a conflict between humans and the unknown elements of Mars and its inhabitants.,0,The story does not focus on a human vs. self-conflict. It's more external.,0.5,"The story has some subtle commentary on the use of technology and exploration, relevant to the time it was made."
19,From Hell It Came (1957),1,1957,1957,1950,other,present,present,"The film takes place during its contemporary time period, which is the present relative to its production year (1957).",0.5,"The tree monster presents a local existential threat, but not to all of humanity.",0.5,"By defeating the tree monster, the characters make their immediate environment safer, but the change is not significant on a larger scale.",0,The story is not set in a dystopian or post-apocalyptic world.,0.5,There is some inequality depicted in the treatment of the island natives.,0.5,There is some human suffering related to the deaths and conflicts caused by the tree monster.,0,The society depicted is not militarized.,1,The story involves a human vs. the unknown conflict as the protagonists confront a supernatural tree monster.,0.5,"There is a minor human vs. society conflict with the island natives, but it is not the main focus.",1,The story involves a human vs. the unknown conflict as the protagonists confront a supernatural tree monster.,0,The story does not involve a significant human vs. self conflict.,0,The story is not a commentary on social issues of the time; it is more focused on horror and science fiction elements.
20,Indestructible Man (1956),1,1956,1956,1950,other,present,present,"The film takes place in the era contemporaneous to its production, the 1950s.",0.5,"The threat is significant but localized to the indestructible criminal, not an existential threat to all humanity.",0.5,"By the end of the film, the world is somewhat better off since the main threat is neutralized but not dramatically changed.",0,The film is not set in a dystopian or post-apocalyptic world; it is set in a regular contemporary society of the 1950s.,0,There is no notable amount of inequality explicitly depicted at the beginning of the story.,0,The setting at the beginning does not depict a notable amount of human suffering beyond normal societal issues.,0,The society depicted is not particularly militarized but rather a regular mid-20th century American society.,0,The conflict in the story is not human vs. the unknown; it is more human vs. other human with a twist.,0,There is no significant human vs. society conflict.,0,The conflict in the story is not human vs. the unknown; it is more human vs. other human with a twist.,0,There is no primary conflict involving a character's internal struggle or human vs. self.,0,The story primarily focuses on thrilling action and crime rather than commentary on social issues.
21,It Conquered the World (1956),1,1956,1956,1950,other,present,present,The film is set in what was the present day at the time of its release in 1956.,1,The alien creature poses an existential threat to humanity as it attempts to assert control over humans.,1,"By the end of the film, the threat is neutralized, making the world better compared to the state during the alien invasion.",0,The world is not set in a dystopian or post-apocalyptic setting at the beginning of the story.,0,The setting at the beginning of the film does not emphasize a notable amount of inequality.,0,The setting at the beginning of the film does not depict notable human suffering before the arrival of the alien.,0.5,"The film involves the military in fighting the alien, but it is not predominantly a militarized society.",1,The story involves humans dealing with the unknown alien threat.,0,The primary conflict is not human vs. society.,1,The story involves humans dealing with the unknown alien threat.,0,The primary conflicts do not involve significant human vs. self struggles.,0.5,"The story has underlying themes about the dangers of uncontrolled scientific experimentation, a topic relevant to mid-20th century."
22,Mystery Science Theater 3000: The Movie (1996),1,1996,1996,1990,animated/kids/comedy,present,present,"The main setting on the Satellite of Love is in the present relative to the protagonists' own time, though the film they watch is from the past.",0,There is no existential threat to humanity in the main plot focused on the protagonists and their riffing on an old sci-fi film.,1,"By the end of the movie, the protagonists make the world slightly better by retaining their humor and sanity despite the forced movie-watching.",0,"The story is not set in a dystopian or post-apocalyptic world, despite the unusual Satellite of Love setting.",1,"The setting involves the protagonists being forcibly subjected to bad movies by an authoritarian figure, indicating inequality.",0.5,"There is a notable amount of suffering in the form of being forced to watch bad movies, though it is presented in a comedic context.",0,The setting at the beginning does not have a militarized society.,0,The story does not involve a human vs. the unknown conflict but rather focuses on satire and riffs on an old film.,0,The primary conflict is not human vs. society; it revolves around the comedic interactions and riffing on the movie.,0,The story does not involve a human vs. the unknown conflict but rather focuses on satire and riffs on an old film.,0,There is no significant human vs. self conflict in the story.,0.5,"The story has elements of commentary on media consumption and bad movies, but it is mostly comedic rather than deeply critical."
23,The Atomic Submarine (1959),1,1959,1959,1950,other,present,present,The film is set in the contemporary time period of the late 1950s.,1,There is an existential threat to humanity posed by the extraterrestrial entity.,1,The characters make the world better by addressing and neutralizing the extraterrestrial threat.,0,The story is not set in a dystopian or post-apocalyptic world.,0,There is no notable amount of inequality portrayed at the beginning of the story.,0,The setting does not depict a notable amount of human suffering at the beginning.,0.5,"There is some level of militarization due to the prominent role of the naval forces, but it is not an overarching theme.",1,The story involves a human vs. the unknown conflict through the protagonists' encounter with extraterrestrial forces.,0,The story does not involve a human vs. society conflict.,1,The story involves a human vs. the unknown conflict through the protagonists' encounter with extraterrestrial forces.,0,The story does not involve a human vs. self conflict.,0.5,"There are minor themes related to Cold War anxieties, but it is not a primary focus."
24,Last Woman on Earth (1960),1,1960,1960,1960,other,present,present,The film takes place in the present time relative to its 1960 release date.,1,There is an existential threat to humanity in the form of an event that leaves them as potentially the last people on Earth.,0,The characters do not significantly change the state of the world; it largely remains worse after the events.,1,The film is set in a post-apocalyptic world after a mysterious event that leaves few survivors.,NA,The film does not focus on or highlight a notable amount of inequality at the beginning of the story.,NA,The setting at the beginning does not indicate a notable amount of human suffering before the mysterious event.,NA,There is no indication of a militarized society at the beginning of the film.,1,The story involves a conflict between humans and the unknown existential threat that has potentially wiped out humanity.,0,There is no notable human vs. society conflict in the film.,1,The story involves a conflict between humans and the unknown existential threat that has potentially wiped out humanity.,0.5,There are elements of human vs. self conflict as characters grapple with their new reality and the psychological impact.,0.5,"The story might be seen as a commentary on themes of survival, loneliness, and human relationships, which can reflect social issues."
26,Killers from Space (1954),1,1954,1954,1950,other,present,present,The film 'Killers from Space' takes place in the present era of the 1950s when it was made.,1,"Yes, there is an existential threat to humanity from the aliens.",0.5,"The characters manage to avert the immediate threat, suggesting a return to normalcy rather than a distinct improvement or decline.",0,The world in the story is not portrayed as dystopian or post-apocalyptic.,0,There is no notable amount of inequality highlighted at the beginning of the story.,0,There is no notable amount of human suffering highlighted at the beginning of the story.,0,The society depicted isn't particularly militarized at the beginning of the story.,1,"Yes, the story involves a conflict between humans and the unknown alien threat.",0,The primary conflict is not human vs. society.,1,"Yes, the story involves a conflict between humans and the unknown alien threat.",0.5,There is an element of human vs. self as the protagonist deals with his own knowledge and the consequences of his actions concerning the alien threat.,0,The story is more focused on the sci-fi elements of the alien threat than on social commentary.
27,Monster from Green Hell (1957),1,1957,1957,1950,other,present,present,"The film is set in the present era of its release, the 1950s.",1,The mutated wasps represent an existential threat to humanity in the story.,1,"The characters manage to eliminate the monstrous threat, potentially making the world safer.",0,The story is not set in a dystopian or post-apocalyptic world.,0,There is no notable amount of inequality depicted at the beginning of the story.,0,Human suffering is not particularly highlighted at the beginning of the story.,0,The story does not depict a militarized society at the beginning.,1,The conflict involves humans confronting the unknown threat of mutated wasps.,0,There is no significant conflict between the protagonists and society.,1,The conflict involves humans confronting the unknown threat of mutated wasps.,0,There is no notable human vs. self conflict within the story.,0.5,"The story can be seen as touching tangentially on issues related to scientific experimentation and its dangers, but it is not heavily focused on social commentary."
28,Killdozer (1974),1,1974,1974,1970,other,present,present,The film takes place in the present era relative to its release date in 1974.,0.5,"There is a significant threat posed by the possessed bulldozer, but it is more localized rather than an existential threat to all humanity.",0,"The protagonists do not make the world notably better, they just resolve the immediate threat of the Killdozer.",0,The story is not set in a dystopian or post-apocalyptic world.,0,There's no notable focus on inequality at the beginning of the story.,0,"At the beginning of the story, there’s no notable focus on human suffering; the context is a construction site.",0,The setting is not characterized by a militarized society.,1,"Yes, the story involves human characters facing an unknown, alien-possessed bulldozer.",0,The conflict is not primarily between human and society.,1,"Yes, the story involves human characters facing an unknown, alien-possessed bulldozer.",0,The conflict does not involve a human vs. self narrative.,0,The story is not a direct commentary on social issues of today; it is more of a science fiction thriller.
30,The Cosmic Man (1959),1,1959,1959,1950,other,present,present,"The film takes place in the present day relative to its release year, 1959.",0.5,"There is a potential existential threat, but it is not fully realized as the alien visitor turns out to be non-hostile.",1,"Yes, the characters in the film make the world better by preventing a potential conflict through understanding and peaceful means.",0,"No, the story is not set in a dystopian or post-apocalyptic world.",0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,"The setting at the beginning of the story does not have a militarized society, though the military does play a role in the plot.",1,"Yes, the story involves a conflict between humans and the unknown, represented by the alien visitor.",0,"No, the story does not involve a human vs. society conflict.",1,"Yes, the story involves a conflict between humans and the unknown, represented by the alien visitor.",0,"No, the story does not involve a human vs. self conflict.",0.5,"Somewhat, the story can be seen as a commentary on the fear of the unknown and the importance of peaceful resolution, reflective of Cold War anxieties."
31,Assignment: Outer Space (1960),1,1960,1960,1960,other,future,future,The film takes place in the future.,0.5,There is a threat that could have significant consequences but it is not an existential threat in the widest sense.,1,The characters make the world better by resolving the spaceship threat.,0,The story is not set in a dystopian or post-apocalyptic world.,0,There is no notable amount of inequality depicted at the beginning of the story.,0,There is no notable amount of human suffering depicted at the beginning of the story.,0,The setting is not characterized by a militarized society.,1,"Yes, the story involves a conflict between humans and an unknown technological threat.",0,"No, the story does not involve a human vs. society conflict.",1,"Yes, the story involves a conflict between humans and an unknown technological threat.",0,"No, the story does not involve a human vs. self conflict.",0,The story is not a direct commentary on the social issues of today.
32,Fire Maidens of Outer Space (1956),1,1956,1956,1950,other,future,future,The film takes place in a future where space travel to the moon of Jupiter is possible.,0.5,"There is a local existential threat to the small society of the fire maidens, but not to humanity as a whole.",0.5,"The protagonists' actions don't significantly alter the state of the world (Earth) back home, but they do influence the small society of fire maidens they encounter.",0,"The story is set on a Jovian moon with a nascent civilization, not in a dystopian or post-apocalyptic world.",1,"The small society of fire maidens does have inequality, with men ruling over women and portraying societal inequality.",0,The film does not depict notable human suffering at the beginning; the focus is on the exploratory mission.,0,The setting at the beginning is not a militarized society. The protagonists are in an exploratory mission.,1,The story involves human protagonists encountering an alien society and dealing with unknown threats.,0,The conflict is more about human interactions with an alien society than with Earth‚Äôs society.,1,The story involves human protagonists encountering an alien society and dealing with unknown threats.,0,There is no significant human vs. self conflict central to the story.,0.5,"The film touches on issues of gender roles and authority figures, but it's not a central commentary on social issues."
33,Where Have All the People Gone (1974),1,1974,1974,1970,other,present,present,The film is set in a contemporary setting relative to its production in 1974.,1,There is an existential threat to humanity; a mysterious event has nearly wiped out human civilization.,0,"By the end of the story, the world is still in a worse state compared to before the disaster.",1,The story is set in a post-apocalyptic world following the mysterious event that decimates the population.,0,The setting at the beginning of the story does not focus on inequality but rather on normal everyday life.,0,The setting at the beginning of the story does not indicate notable human suffering before the disaster occurs.,0,The society at the beginning of the story is not militarized.,1,"The story involves a human vs. the unknown conflict, centered around the mysterious event that causes the disappearance of people.",0,The story does not primarily involve a human vs. society conflict.,1,"The story involves a human vs. the unknown conflict, centered around the mysterious event that causes the disappearance of people.",0,The story does not primarily focus on a human vs. self conflict.,0.5,"The story can be seen as a commentary on social issues such as the fragility of civilization, though this is not its central theme."
34,The Brain from Planet Arous (1957),1,1957,1957,1950,other,present,present,The film takes place in the present day of when it was released (1950s).,1,"Yes, there is an existential threat to humanity posed by the alien brain Gor.",1,"Yes, the characters manage to stop the alien brain, implying they made the world better.",0,The story is not set in a dystopian or post-apocalyptic world.,0,There is no notable amount of inequality mentioned in the setting at the beginning of the story.,0,There is no notable amount of human suffering mentioned at the start of the story.,0,The society at the beginning of the story is not militarized.,1,"Yes, the story involves a human vs. the unknown conflict with the alien brain.",0,The story does not involve a human vs. society conflict.,1,"Yes, the story involves a human vs. the unknown conflict with the alien brain.",0,The story does not involve a human vs. self conflict.,0,The story is more focused on science fiction and does not serve as a commentary on social issues of today.
36,How to Make a Monster (1958),1,1958,1958,1950,other,present,present,"The film takes place in the present time of its release, which is the late 1950s.",0,"There is no existential threat to humanity, just a localized threat caused by the antagonist.",0.5,"At the end, the immediate threat is neutralized, making it somewhat better, but the changes are not significantly explored.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting does not have a notable amount of inequality.,0,The setting does not have a notable amount of human suffering at the beginning.,0,The setting does not have a militarized society.,0.5,"The conflict is somewhat human vs. the unknown due to the mind control mechanism, but it is mainly a human vs. human conflict.",0,The story does not involve a human vs. society conflict.,0.5,"The conflict is somewhat human vs. the unknown due to the mind control mechanism, but it is mainly a human vs. human conflict.",0,The story does not involve a human vs. self conflict.,0,The story is not a commentary on social issues of today; it's more focused on the horror and sci-fi elements.
38,The Man from Planet X (1951),1,1951,1951,1950,other,present,present,"The film takes place in the present, which would be the 1950s.",1,"Yes, there is an existential threat to humanity in the form of the alien arrival.",0.5,"The protagonists manage to avert the immediate threat, but the long-term implications for the world are left uncertain.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not notably focus on societal inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The society at the beginning of the story is not militarized.,1,"Yes, the story involves a conflict between humans and the unknown, which is represented by the alien from Planet X.",0,The story does not involve a conflict between humans and society.,1,"Yes, the story involves a conflict between humans and the unknown, which is represented by the alien from Planet X.",0,The story does not focus on a human vs. self conflict.,0.5,"There are elements that can be seen as a critique of Cold War era fears, but it is not primarily a commentary on social issues."
40,"Invasion, U.S.A. (1952)",1,1952,1952,1950,other,present,present,The film takes place in the present era of the 1950s.,1,There is an existential threat to humanity in the form of a large-scale invasion.,0.5,"The characters make the world somewhat better by resisting the invasion, but it still comes at a significant cost.",0,The story is not set in a dystopian or post-apocalyptic world; it is set in a present-day setting facing a potential future threat.,0,The setting at the beginning of the story does not show a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0.5,The society is somewhat militarized as the threat of invasion becomes apparent.,1,The story involves a human vs. the unknown conflict with the unexpected invasion.,0,The story does not primarily involve a human vs. society conflict.,1,The story involves a human vs. the unknown conflict with the unexpected invasion.,0,The story does not focus on a human vs. self conflict.,1,"The story can be seen as a commentary on social issues of the Cold War, particularly the fear of invasion and the need for national preparedness."
42,Manster (1959),1,1959,1959,1950,other,present,present,The film takes place in the present era relative to its production year of 1959.,0,There is no existential threat to humanity; the main threat is specific to the protagonists and localized.,0.5,"The characters manage to stop the immediate threat but do not fully revert the damage, making the world somewhat better than during the crisis but worse than before it began.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The film does not depict a setting with a notable amount of inequality.,0,There is no notable amount of human suffering depicted at the beginning of the story.,0,The society at the beginning of the story is not militarized.,1,"The story involves a human versus the unknown conflict, as the protagonist deals with a monstrous transformation.",0,The story does not involve a human versus society conflict.,1,"The story involves a human versus the unknown conflict, as the protagonist deals with a monstrous transformation.",1,The story involves a human versus self conflict as the protagonist struggles with his monstrous alter ego.,0,The story is not a commentary on social issues of the day; it is more a science fiction horror narrative.
43,The Monster of Piedras Blancas (1959),1,1959,1959,1950,other,present,present,The film is set in the present time relative to its release in 1959.,0,"There is no existential threat to humanity as a whole, only to the local community.",0,"The characters manage to deal with the immediate threat, but it is ambiguous whether the world is significantly better or just prevented from becoming worse.",0,The story is not set in a dystopian or post-apocalyptic world; it is set in a regular small town.,0,There is no notable amount of inequality depicted in the setting at the beginning of the story.,0,There is no notable amount of human suffering at the beginning of the story; the suffering starts with the monster attacks.,0,The society at the beginning of the story is not militarized.,1,"The story involves a human vs. the unknown conflict, centered around the monster.",0,The story does not involve a human vs. society conflict.,1,"The story involves a human vs. the unknown conflict, centered around the monster.",0,The story does not involve a human vs. self conflict.,0,The story is not a commentary on social issues of the time; it is primarily a monster horror film.
44,Phantom from Space (1953),1,1953,1953,1950,other,present,present,"The film takes place in what was the present at the time of its release, the 1950s.",0,The threat posed by the alien is localized and not an existential threat to all of humanity.,0.5,"The characters manage to handle the immediate threat, but the solution is ambiguous, leaving the world somewhat unsettled.",0,The setting is not dystopian or post-apocalyptic.,0,"The film does not focus on inequality, and the setting does not emphasize this aspect.",0,The narrative does not highlight significant human suffering at the beginning.,0,The setting is not depicted as having a militarized society.,1,The primary conflict is humans dealing with the unknown alien threat.,0.5,"There is some conflict involving law enforcement and societal response, but it is not the main focus.",1,The primary conflict is humans dealing with the unknown alien threat.,0,The story does not primarily involve a conflict of humans with themselves.,0.5,"The film touches on contemporary fears of the unknown, such as the paranoia of the 1950s, but is not overtly a commentary on social issues."
45,Teenage Zombies (1959),1,1959,1959,1950,other,present,present,"The film takes place in the contemporary period when it was made, which is the late 1950s.",1,The threat of turning people into zombies poses an existential threat to humanity.,1,"By the end of the film, the protagonists stop the threat, making the world better.",0,The setting is not dystopian or post-apocalyptic; it is set in a typical 1950s American town.,0,There is no notable amount of inequality shown at the beginning of the story.,0,There is no notable amount of human suffering depicted at the start of the story.,0,The society at the beginning of the story is not depicted as militarized.,1,"The story involves a conflict between humans and an unknown threat, the mad scientist's experiments.",0,The story does not mainly involve a conflict with society.,1,"The story involves a conflict between humans and an unknown threat, the mad scientist's experiments.",0,There is no significant internal conflict within the main characters.,0.5,The story can be seen as a commentary on the dangers of unchecked scientific experimentation.
46,The 30 Foot Bride of Candy Rock (1959),1,1959,1959,1950,animated/kids/comedy,present,present,The film takes place in the then-present day of 1959.,0,There is no existential threat to humanity in the story.,0,The characters do not make a significant impact on the overall state of the world; the focus is more on personal relationships.,0,The story is not set in a dystopian or post-apocalyptic world; it is set in a normal small town setting.,0,The setting at the beginning of the story does not have a notable amount of inequality; it’s a typical small town.,0,There is no notable amount of human suffering at the beginning of the story.,0,The setting is not a militarized society.,0,The story does not involve a human vs. the unknown conflict; it involves dealing with a personal and somewhat comedic situation.,0,The story does not primarily involve a human vs. society conflict.,0,The story does not involve a human vs. the unknown conflict; it involves dealing with a personal and somewhat comedic situation.,0,The story does not involve a human vs. self conflict.,0,The story is not a commentary on social issues of today; it is more of a comedic and fantastical tale.
47,The Spider (1958),1,1958,1958,1950,other,present,present,"The film takes place in the present era during the time it was made, the late 1950s.",0.5,"There is a significant threat to a town due to the giant spider, but not an existential threat to all of humanity.",1,The characters make the world better by dealing with the giant spider threat.,0,"The story is set in a normal contemporary world, not a dystopian or post-apocalyptic world.",0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The setting at the beginning does not have a militarized society.,1,The story involves a human vs. the unknown conflict with the giant spider.,0,The story does not involve a human vs. society conflict.,1,The story involves a human vs. the unknown conflict with the giant spider.,0,The story does not involve a human vs. self conflict.,0,The story is not a commentary on social issues of today.
